time,run,reset,mode,runok,trq
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006000,0.000000,0.000000,0.000000,0.000000,0.000000
0.008000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012000,0.000000,0.000000,0.000000,0.000000,0.000000
0.014000,0.000000,0.000000,0.000000,0.000000,0.000000
0.016000,0.000000,0.000000,0.000000,0.000000,0.000000
0.018000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.000000,0.000000,0.000000,0.000000
0.022000,0.000000,1.000000,0.000000,0.000000,0.000000
0.024000,0.000000,1.000000,0.000000,0.000000,0.000000
0.026000,0.000000,1.000000,0.000000,0.000000,0.000000
0.028000,0.000000,1.000000,0.000000,0.000000,0.000000
0.030000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034000,0.000000,0.000000,0.000000,0.000000,0.000000
0.036000,0.000000,0.000000,0.000000,0.000000,0.000000
0.038000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.000000,0.000000,3.000000,1.000000,0.000000
0.042000,0.000000,0.000000,3.000000,1.000000,0.000000
0.044000,0.000000,0.000000,3.000000,1.000000,0.000000
0.046000,0.000000,0.000000,3.000000,1.000000,0.000000
0.048000,0.000000,0.000000,3.000000,1.000000,0.000000
0.050000,1.000000,0.000000,3.000000,1.000000,0.000000
0.052000,1.000000,0.000000,3.000000,1.000000,0.000000
0.054000,1.000000,0.000000,3.000000,1.000000,0.000000
0.056000,1.000000,0.000000,3.000000,1.000000,0.000000
0.058000,1.000000,0.000000,3.000000,1.000000,0.000000
0.060000,1.000000,0.000000,3.000000,1.000000,0.000000
0.062000,1.000000,0.000000,3.000000,1.000000,0.000000
0.064000,1.000000,0.000000,3.000000,1.000000,0.000000
0.066000,1.000000,0.000000,3.000000,1.000000,0.000000
0.068000,1.000000,0.000000,3.000000,1.000000,0.000000
0.070000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.072000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.074000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.076000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.078000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.080000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.082000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.084000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.086000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.088000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.090000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.092000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.094000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.096000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.098000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.100000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.102000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.104000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.106000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.108000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.110000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.112000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.114000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.116000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.118000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.120000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.122000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.124000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.126000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.128000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.130000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.132000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.134000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.136000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.138000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.140000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.142000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.144000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.146000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.148000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.150000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.152000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.154000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.156000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.158000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.160000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.162000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.164000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.166000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.168000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.170000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.172000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.174000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.176000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.178000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.180000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.182000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.184000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.186000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.188000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.190000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.192000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.194000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.196000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.198000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.200000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.202000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.204000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.206000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.208000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.210000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.212000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.214000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.216000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.218000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.220000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.222000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.224000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.226000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.228000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.230000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.232000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.234000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.236000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.238000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.240000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.242000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.244000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.246000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.248000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.250000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.252000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.254000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.256000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.258000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.260000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.262000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.264000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.266000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.268000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.270000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.272000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.274000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.276000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.278000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.280000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.282000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.284000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.286000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.288000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.290000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.292000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.294000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.296000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.298000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.300000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.302000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.304000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.306000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.308000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.310000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.312000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.314000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.316000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.318000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.320000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.322000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.324000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.326000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.328000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.330000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.332000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.334000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.336000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.338000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.340000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.342000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.344000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.346000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.348000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.350000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.352000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.354000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.356000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.358000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.360000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.362000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.364000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.366000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.368000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.370000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.372000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.374000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.376000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.378000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.380000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.382000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.384000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.386000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.388000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.390000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.392000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.394000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.396000,1.000000,0.000000,3.000000,1.000000,-5.250000
0.398000,1.000000,0.000000,3.000000,1.000000,-5.250000
